City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,weno,7.4515,151.8468,27.97,89,100,2.57,FM,1702171789
82,laojunmiao,39.8333,97.7333,-2.2,43,100,1.56,CN,1702171777
83,anadyr,64.75,177.4833,-25.72,76,78,4.0,RU,1702171814
84,borzya,50.3833,116.5167,-29.13,96,22,1.2,RU,1702171905
85,hirara,24.8,125.2833,26.15,69,20,5.14,JP,1702171540
86,barreirinha,-2.7933,-57.07,25.84,83,42,0.97,BR,1702171906
87,cabinda,-5.55,12.2,26.51,81,100,1.77,AO,1702171906
88,burang,30.25,81.1667,-14.21,48,0,1.81,CN,1702171906
89,ust-nera,64.5667,143.2,-17.46,99,100,1.7,RU,1702171778
90,dolinsk,47.35,142.8,-9.22,75,82,9.38,RU,1702171906
91,invercargill,-46.4,168.35,13.41,54,31,6.96,NZ,1702171659
92,champerico,14.3,-91.9167,26.9,76,64,2.89,GT,1702171906
93,tangalle,6.024,80.7911,23.09,88,61,1.56,LK,1702171907
94,wailua homesteads,22.0669,-159.378,26.24,76,0,3.6,US,1702171801
95,port-gentil,-0.7193,8.7815,26.72,84,50,4.57,GA,1702171907
96,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,75,6.71,RU,1702171786
97,casa grande,32.8795,-111.7573,14.9,21,0,3.6,US,1702171907
98,chania,35.5122,24.0156,11.78,87,75,0.0,GR,1702171907
99,bomdila,27.25,92.4,6.2,84,60,1.07,IN,1702171907
100,otofuke,42.9917,143.2003,4.53,50,0,9.2,JP,1702171907
101,banda aceh,5.5577,95.3222,26.87,81,100,1.45,ID,1702171789
102,egilsstadir,65.2653,-14.3948,-3.05,93,40,0.0,IS,1702171824
103,chos malal,-37.3781,-70.2709,20.43,22,0,1.12,AR,1702171907
104,ancud,-41.8697,-73.8203,11.16,92,100,1.86,CL,1702171792
105,georgetown,5.4112,100.3354,27.96,83,20,2.06,MY,1702171823
106,lompoc,34.6391,-120.4579,17.08,66,0,4.02,US,1702171755
107,klyuchi,52.2667,79.1667,-20.99,75,59,1.6,RU,1702171838
108,clinton,42.587,-82.9199,11.18,79,75,2.06,US,1702171613
109,mata-utu,-13.2816,-176.1745,28.51,68,93,2.1,WF,1702171908
110,masterton,-40.9597,175.6575,14.94,96,100,5.66,NZ,1702171553
111,whitehorse,60.7161,-135.0538,-9.95,90,100,3.6,CA,1702171780
112,callao,-12.0667,-77.15,22.62,77,20,5.66,PE,1702171537
113,saldanha,-33.0117,17.9442,14.03,85,0,7.18,ZA,1702171467
114,college,64.8569,-147.8028,-23.64,79,20,2.06,US,1702171783
115,maun,-19.9833,23.4167,19.98,100,75,2.57,BW,1702171908
116,busan,35.1028,129.0403,11.99,87,20,0.51,KR,1702171808
117,hawaiian paradise park,19.5933,-154.9731,26.73,81,0,3.6,US,1702171858
118,yatou,37.15,122.3833,5.92,50,100,10.63,CN,1702171909
